EventId,EventTemplate
E110,usbcore: registered new driver hub
E111,usbcore: registered new driver usbfs
E112,User unknown timed out after <*> seconds at <*>:<*>:<*> <*>
E113,Using tsc for high-res timesource
E114,Version <*>.<*>.<*> Starting
E115,VFS: Disk quotas dquot_<*>.<*>.<*>
E116,warning: can't get client address: Connection reset by peer
E117,You can enable it with acpi=force
E118,zapping low mappings.
E9000,Segfault detected on process PID 6631
E9001,Segfault detected on process PID 6631
E9002,Kerberos authentication failed at 12/26/2024 11:51:13
E9003,ALERT exited abnormally with [3]
E9004,Critical timeout error on PID 1356
E9005,connection from 118.81.189.201 () at 05/19/2024 20:48:22
E9006,Authentication failed from 130.210.59.192 (error code 2)
E9007,Kerberos authentication failed at 12/26/2024 11:51:13
E9008,Authentication failed from 130.210.59.192 (error code 2)
E9009,Authentication failed from 130.210.59.192 (error code 2)
E9010,session closed for user user19
E9011,Segfault detected on process PID 6631
E9012,Segfault detected on process PID 6631
E9013,Kerberos authentication failed at 12/26/2024 11:51:13
E9014,ALERT exited abnormally with [3]
E9015,Kerberos authentication failed at 12/26/2024 11:51:13
E9016,connection from 118.81.189.201 () at 05/19/2024 20:48:22
E9017,ALERT exited abnormally with [3]
E9018,Kerberos authentication failed at 12/26/2024 11:51:13
E9019,removing device node '/udev/vcsa10'
E9020,connection from 118.81.189.201 () at 05/19/2024 20:48:22
E9021,Critical timeout error on PID 1356
E9022,Segfault detected on process PID 6631
E9023,removing device node '/udev/vcsa10'
E9024,Authentication failed from 130.210.59.192 (error code 2)
E9025,Authentication failed from 130.210.59.192 (error code 2)
E9026,ALERT exited abnormally with [3]
E9027,Kerberos authentication failed at 12/26/2024 11:51:13
E9028,Critical timeout error on PID 1356
E9029,ALERT exited abnormally with [3]
E9030,session closed for user user19
E9031,Authentication failed from 130.210.59.192 (error code 2)
E9032,Kerberos authentication failed at 12/26/2024 11:51:13
E9033,Authentication failed from 130.210.59.192 (error code 2)
E9034,ALERT exited abnormally with [3]
E9035,ALERT exited abnormally with [3]
E9036,Critical timeout error on PID 1356
E9037,Segfault detected on process PID 6631
E9038,Segfault detected on process PID 6631
E9039,Critical timeout error on PID 1356
E9040,Critical timeout error on PID 1356
E9041,removing device node '/udev/vcsa10'
E9042,Critical timeout error on PID 1356
E9043,session closed for user user19
