PID,Label
19099,Normal
19101,Normal
19103,Normal
19097,Normal
19202,Normal
19203,Normal
19209,Normal
19208,Normal
19222,Normal
19432,Normal
19431,Normal
19433,Normal
19434,Normal
19435,Normal
19436,Normal
19438,Normal
19437,Normal
19439,Normal
19440,Normal
19630,Normal
19628,Normal
19640,Normal
19642,Normal
19632,Normal
19643,Normal
19631,Normal
19636,Normal
19645,Normal
19637,Normal
20298,Normal
21530,Normal
21689,Normal
21691,Normal
21692,Normal
21693,Normal
22099,Normal
22104,Normal
22106,Normal
22112,Normal
22272,Normal
22269,Normal
22277,Normal
22271,Normal
22273,Normal
22270,Normal
22268,Normal
22274,Normal
22276,Normal
22275,Normal
23533,Normal
23534,Normal
23535,Normal
23536,Normal
23544,Normal
23545,Normal
23546,Normal
23547,Normal
24117,Normal
24511,Normal
24588,Normal
24587,Normal
24590,Normal
24573,Normal
24574,Normal
24576,Normal
24578,Normal
24579,Normal
24581,Normal
24583,Normal
26964,Normal
28416,Normal
1583,Normal
1965,Normal
2543,Normal
2544,Normal
2547,Normal
3378,Normal
3380,Normal
3382,Normal
3384,Normal
3386,Normal
3388,Normal
3390,Normal
3391,Normal
3394,Normal
3396,Normal
3399,Normal
3398,Normal
3402,Normal
4474,Normal
5699,Normal
6552,Normal
6554,Normal
6556,Normal
6558,Normal
6560,Normal
7694,Normal
7702,Normal
7697,Normal
7696,Normal
7704,Normal
8195,Normal
8565,Normal
10961,Normal
12193,Normal
12518,Normal
12519,Normal
12520,Normal
12524,Normal
12525,Normal
12527,Normal
2421,Normal
13317,Normal
13321,Normal
13318,Normal
13323,Normal
14943,Normal
19593,Normal
20963,Normal
20969,Normal
20968,Normal
20964,Normal
21991,Normal
22368,Normal
23780,Normal
23781,Normal
23784,Normal
23786,Normal
23788,Normal
23790,Normal
23792,Normal
23794,Normal
23796,Normal
23798,Normal
24898,Normal
26353,Normal
30530,Normal
30532,Normal
30534,Normal
30535,Normal
30536,Normal
30540,Normal
30542,Normal
30544,Normal
30546,Normal
30548,Normal
30550,Normal
30552,Normal
30554,Normal
30555,Normal
30558,Normal
30560,Normal
30562,Normal
30564,Normal
30566,Normal
30568,Normal
30570,Normal
30572,Normal
30574,Normal
30575,Normal
30580,Normal
30578,Normal
30582,Normal
30584,Normal
30585,Normal
30588,Normal
30590,Normal
30592,Normal
30595,Normal
30594,Normal
30598,Normal
30599,Normal
30602,Normal
30604,Normal
30605,Normal
30607,Normal
30610,Normal
30612,Normal
30614,Normal
30615,Normal
30618,Normal
30620,Normal
30622,Normal
30624,Normal
30625,Normal
30628,Normal
30630,Normal
30632,Normal
30634,Normal
30635,Normal
30638,Normal
30640,Normal
30642,Normal
30644,Normal
30645,Normal
30647,Normal
30650,Normal
30652,Normal
30654,Normal
30655,Normal
30658,Normal
30660,Normal
30662,Normal
30665,Normal
30664,Normal
30666,Normal
30670,Normal
30672,Normal
30675,Normal
30674,Normal
30678,Normal
30680,Normal
30682,Normal
30684,Normal
30685,Normal
30686,Normal
30725,Normal
30729,Normal
30731,Normal
30732,Normal
30734,Normal
30739,Normal
30737,Normal
30740,Normal
30743,Normal
30726,Normal
31851,Normal
31848,Normal
31850,Normal
31861,Normal
31854,Normal
31853,Normal
31862,Normal
31855,Normal
31852,Normal
31860,Normal
32237,Normal
32608,Normal
2803,Normal
1325,Normal
1329,Normal
1327,Normal
1331,Normal
1333,Normal
1335,Normal
1337,Normal
1338,Normal
1341,Normal
1343,Normal
2605,Normal
3833,Normal
4048,Normal
4053,Normal
4052,Normal
4054,Normal
4050,Normal
4061,Normal
4064,Normal
4058,Normal
4059,Normal
4065,Normal
6486,Normal
6863,Normal
8113,Normal
8114,Normal
8117,Normal
9355,Normal
10583,Normal
11706,Normal
11708,Normal
11710,Normal
11719,Normal
11721,Normal
11723,Normal
11725,Normal
11741,Normal
12632,Normal
12628,Normal
12631,Normal
12627,Normal
12629,Normal
12630,Normal
12643,Normal
12645,Normal
12639,Normal
12640,Normal
13238,Normal
13611,Normal
16058,Normal
17286,Normal
19686,Normal
20282,Normal
24031,Normal
24033,Normal
24030,Normal
26046,Normal
27272,Normal
28975,Normal
28977,Normal
28980,Normal
28978,Normal
28983,Normal
28986,Normal
28985,Normal
28987,Normal
28988,Normal
28991,Normal
29758,Normal
30128,Normal
30500,Normal
30510,Normal
30499,Normal
30503,Normal
30505,Normal
30501,Normal
30504,Normal
30498,Normal
30511,Normal
30508,Normal
363,Normal
1595,Normal
3307,Normal
3306,Normal
3308,Normal
3313,Normal
3312,Normal
3489,Normal
3493,Normal
3488,Normal
3487,Normal
4170,Normal
4540,Normal
5587,Normal
5586,Normal
7106,Normal
11756,Normal
14314,Normal
14692,Normal
15385,Normal
16159,Normal
16158,Normal
16156,Normal
16157,Normal
16162,Normal
16155,Normal
16160,Normal
16154,Normal
16161,Normal
16153,Normal
17283,Normal
21805,Normal
22185,Normal
22184,Normal
22188,Normal
22189,Normal
22191,Normal
24312,Normal
24683,Normal
27285,Normal
28514,Normal
28842,Normal
28844,Normal
28846,Normal
28848,Normal
28850,Normal
28852,Normal
28854,Normal
28856,Normal
28858,Normal
28860,Normal
28862,Normal
28864,Normal
28866,Normal
28868,Normal
28870,Normal
28872,Normal
28874,Normal
28876,Normal
28878,Normal
28880,Normal
28882,Normal
28884,Normal
28886,Normal
30999,Normal
31373,Normal
